,date,description,amount
29,2022-02-22,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
30,2022-02-22,DEBIT CARD PURCHASE MATE COMMUNICATE PTY,75.0
31,2022-02-23,DEBIT CARD PURCHASE SQ *BRUNETTI ORO FLIND Melbourne,5.97
32,2022-02-23,DEBIT CARD PURCHASE Kariton Sorbetes Melbourne,6.89
33,2022-02-23,DEBIT CARD PURCHASE AMPOL,10.4
34,2022-02-24,DEBIT CARD PURCHASE Cabin Coffee and Deli Hampton,4.5
35,2022-02-24,DEBIT CARD PURCHASE VIC MEAT SUPPLY P/L MELBOURNE,12.0
36,2022-02-25,DEBIT CARD PURCHASE SQ *DUKES COFFEE ROAST Melbourne,5.0
37,2022-02-26,DEBIT CARD PURCHASE SQ *BROTHER BABA BUDAN Melbourne,5.06
38,2022-02-27,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
39,2022-02-27,DEBIT CARD PURCHASE THAI SOCIAL EMPORIUM BENTLEIGH,16.2
40,2022-02-28,DEBIT CARD PURCHASE SQ *COMMONPLACE COFFEE Melbourne,5.0
41,2022-03-01,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
42,2022-03-01,EFTPOS DEBIT 0000000 SMP*Jagos Quality Me atMelbourne03,16.26
43,2022-03-02,DEBIT CARD PURCHASE SQ *PUZZLE COFFEE Melbourne,5.06
44,2022-03-02,DEBIT CARD PURCHASE ZLR*Deep Blue Seafood Melbourne,11.11
45,2022-03-02,PAYMENT BY AUTHORITY TO Vodafone Aus,64.99
46,2022-03-03,DEBIT CARD PURCHASE SQ *PAUSE & SIP BY WHI Melbourne,4.44
47,2022-03-04,DEBIT CARD PURCHASE AXILCOFFEE.COM.AU MELBOURNE,5.21
48,2022-03-04,DEBIT CARD PURCHASE PACOS TACOS RINGWOOD,35.65
49,2022-03-05,DEBIT CARD PURCHASE AXIL COFFEE Melbourne,5.15
50,2022-03-06,DEBIT CARD PURCHASE ZLR*Queen's Harvest Melbourne,3.96
51,2022-03-07,DEBIT CARD PURCHASE SQ *PUZZLE COFFEE Melbourne,5.06
52,2022-03-08,DEBIT CARD PURCHASE In a Rush Melbourne,4.56
53,2022-03-08,DEBIT CARD PURCHASE ALDI STORES - WEST MEL WEST MELBOUR,42.34
54,2022-03-08,EFTPOS DEBIT 0000000 MYKI MELBOURNE,90.0
55,2022-03-09,DEBIT CARD PURCHASE PUZZLE SWANSTON ST MELBOURNE,4.66
56,2022-03-09,DEBIT CARD PURCHASE SAMSAM CHICKEN SWANSTO MELBOURNE,21.15
57,2022-03-10,DEBIT CARD PURCHASE AXILCOFFEE.COM.AU MELBOURNE,5.21
58,2022-03-11,DEBIT CARD PURCHASE The Journal Cafe Melbourne,5.99
59,2022-03-11,DEBIT CARD PURCHASE OH DUMPLINGS MELBOURNE,17.1
60,2022-03-11,EFTPOS DEBIT 0000000 MYKI MELBOURNE,90.0
61,2022-03-12,DEBIT CARD PURCHASE The league of honest c Melbourne,4.75
62,2022-03-12,DEBIT CARD PURCHASE HIGHER GROUND MELBOURNE,6.5
63,2022-03-12,EFTPOS DEBIT 0000000 SMP*Jagos Quality Me atMelbourne03,16.26
64,2022-03-12,DEBIT CARD PURCHASE Spotify Sydney,18.99
65,2022-03-13,DEBIT CARD PURCHASE ZLR*Queen's Harvest Melbourne,3.96
66,2022-03-13,DEBIT CARD PURCHASE SQ *THE VEGIE BAR Fitzroy,23.33
67,2022-03-14,DEBIT CARD PURCHASE Cabin Coffee and Deli Hampton,4.5
68,2022-03-14,DEBIT CARD PURCHASE AIRBNB Surry Hills,164.75
69,2022-03-15,DEBIT CARD PURCHASE KIT ESPRESSO GROUP PTY MELBOURNE,5.0
70,2022-03-16,DEBIT CARD PURCHASE Timber and Greens Collingwood,4.5
71,2022-03-17,DEBIT CARD PURCHASE AXIL COFFEE Melbourne,5.15
72,2022-03-17,DEBIT CARD PURCHASE D AND C APOLLOWINGS PT MELBOURNE,18.87
73,2022-03-18,DEBIT CARD PURCHASE MILKY JOE'S MELBOURNE,4.3
74,2022-03-19,DEBIT CARD PURCHASE SQ *THE STUDIO BEANS C Carlton,5.0
75,2022-03-19,EFTPOS DEBIT 0000000 SQ *INTO COFFEE Collingwood,4.5
76,2022-03-20,DEBIT CARD PURCHASE SQ *DROPOUT CHAIWALA Melbourne,5.01
77,2022-03-21,DEBIT CARD PURCHASE KIT ESPRESSO GROUP PTY MELBOURNE,5.0
78,2022-03-22,DEBIT CARD PURCHASE AXILCOFFEE.COM.AU MELBOURNE,5.21
79,2022-03-22,DEBIT CARD PURCHASE MATE COMMUNICATE PTY,75.0
80,2022-03-23,DEBIT CARD PURCHASE Timber and Greens Collingwood,4.5
81,2022-03-23,DEBIT CARD PURCHASE CROWN ASIAN SUPERMAR MELBOURNE,15.42
82,2022-03-24,DEBIT CARD PURCHASE SQ *COMMONPLACE COFFEE Melbourne,5.0
83,2022-03-24,DEBIT CARD PURCHASE ZLR*Deep Blue Seafood Melbourne,11.11
84,2022-03-25,DEBIT CARD PURCHASE The league of honest c Melbourne,4.75
85,2022-03-25,DEBIT CARD PURCHASE HAKATA GENSUKE HEALEYS MELBOURNE,19.25
86,2022-03-25,DEBIT CARD PURCHASE Koko Black Australia P Coburg,29.9
87,2022-03-26,DEBIT CARD PURCHASE The league of honest c Melbourne,4.75
88,2022-03-26,DEBIT CARD PURCHASE ARCADIA CAFE AND BAR FITZROY,19.28
89,2022-03-27,DEBIT CARD PURCHASE Carl Timber+Greens Carlton,4.38
90,2022-03-28,DEBIT CARD PURCHASE DR DAX KITCHEN Parkville,4.26
91,2022-03-29,DEBIT CARD PURCHASE SQ *BRUNETTI ORO FLIND Melbourne,5.97
92,2022-03-29,DEBIT CARD PURCHASE MASTER LANZHOU - SWANS MELBOURNE,16.14
93,2022-03-30,DEBIT CARD PURCHASE SQ *BRUNETTI ORO FLIND Melbourne,5.97
94,2022-03-31,DEBIT CARD PURCHASE SQ *PUZZLE COFFEE Melbourne,5.06
95,2022-04-01,DEBIT CARD PURCHASE SQ *THE STUDIO BEANS C Carlton,5.0
96,2022-04-01,DEBIT CARD PURCHASE HELLENIC DELI MELBOURNE,20.04
97,2022-04-02,DEBIT CARD PURCHASE MILKY JOE'S MELBOURNE,4.3
98,2022-04-02,PAYMENT BY AUTHORITY TO Vodafone Aus,64.99
99,2022-04-03,DEBIT CARD PURCHASE Code Black Brunswick,6.61
100,2022-04-04,DEBIT CARD PURCHASE SQ *ST. ALI CANTEEN Melbourne,5.5
101,2022-04-04,DEBIT CARD PURCHASE SQ *PONDOK NASI BAKAR South Melbou,20.72
102,2022-04-04,DEBIT CARD PURCHASE MINISO MELB CENTRAL MELBOURNE,14.99
103,2022-04-04,EFTPOS DEBIT 0000000 MYKI MELBOURNE,90.0
104,2022-04-05,DEBIT CARD PURCHASE Carl Timber+Greens Carlton,4.38
105,2022-04-05,DEBIT CARD PURCHASE THE CORNER LARDER MELBOURNE,12.03
106,2022-04-05,DEBIT CARD PURCHASE AMPOL,10.4
107,2022-04-06,DEBIT CARD PURCHASE PROFESSORS WALK CAFE PARKVILLE,4.6
108,2022-04-06,DEBIT CARD PURCHASE AIRBNB * HMP4J53XHD Surry Hills,327.23
109,2022-04-07,DEBIT CARD PURCHASE SQ *PAUSE & SIP BY WHI Melbourne,4.44
110,2022-04-07,DEBIT CARD PURCHASE WWW.SHUJINKO.COM.AU MELBOURNE,13.72
111,2022-04-08,DEBIT CARD PURCHASE SQ *LITTLE NIC         West Melbour,4.35
112,2022-04-09,DEBIT CARD PURCHASE AXIL COFFEE Melbourne,5.15
113,2022-04-09,DEBIT CARD PURCHASE PHO GANH MELBOURNE,19.36
114,2022-04-10,DEBIT CARD PURCHASE SQ *PUZZLE COFFEE Melbourne,5.06
115,2022-04-10,DEBIT CARD PURCHASE WOOLWORTHS      0000 STH MELBOURN,9.38
116,2022-04-11,DEBIT CARD PURCHASE PROFESSORS WALK CAFE PARKVILLE,4.6
117,2022-04-11,DEBIT CARD PURCHASE D O C ESPRESSO CARLTON,30.95
118,2022-04-12,DEBIT CARD PURCHASE SQ *LE MIEL ET LA LUNE Carlton,4.59
119,2022-04-12,DEBIT CARD PURCHASE Spotify Sydney,18.99
120,2022-04-13,DEBIT CARD PURCHASE ZANE COFFEE            SOUTH MORANG,4.0
121,2022-04-14,DEBIT CARD PURCHASE SQ *THE STUDIO BEANS C Carlton,5.0
122,2022-04-14,DEBIT CARD PURCHASE ALDI STORES - WEST MEL WEST MELBOUR,42.34
123,2022-04-15,DEBIT CARD PURCHASE ZANE COFFEE            SOUTH MORANG,4.0
124,2022-04-16,DEBIT CARD PURCHASE ACOFFEE Collingwood,5.57
125,2022-04-16,DEBIT CARD PURCHASE THAILANDER EMPORIUM MELBOURNE,7.08
126,2022-04-17,DEBIT CARD PURCHASE KIT ESPRESSO GROUP PTY MELBOURNE,5.0
127,2022-04-18,DEBIT CARD PURCHASE CATHEDRAL COFFEE MELBOURNE,4.5
128,2022-04-18,DEBIT CARD PURCHASE TIBAS KEBAB BRUNSWICK,26.5
129,2022-04-19,DEBIT CARD PURCHASE SQ *ROSSO ESPRESSO BAR Melbourne,4.5
130,2022-04-19,DEBIT CARD PURCHASE HELLENIC DELI MELBOURNE,20.04
131,2022-04-19,DEBIT CARD PURCHASE CROWN ASIAN SUPERMAR MELBOURNE,15.42
132,2022-04-20,DEBIT CARD PURCHASE SQ *LE MIEL ET LA LUNE Carlton,4.59
133,2022-04-21,DEBIT CARD PURCHASE SQ *COFFEE HQ PTY LTD Melbourne,4.55
134,2022-04-22,DEBIT CARD PURCHASE KIT ESPRESSO GROUP PTY MELBOURNE,5.0
135,2022-04-22,DEBIT CARD PURCHASE AMPOL,10.4
136,2022-04-22,DEBIT CARD PURCHASE MATE COMMUNICATE PTY,75.0
137,2022-04-23,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
138,2022-04-24,DEBIT CARD PURCHASE DR DAX KITCHEN Parkville,4.26
139,2022-04-24,DEBIT CARD PURCHASE Bowltiful Swanston Melbourne,18.07
140,2022-04-25,DEBIT CARD PURCHASE Code Black Brunswick,6.61
141,2022-04-25,EFTPOS DEBIT 0000000 Lao Liu Zhou Pty Ltd Melbourne,8.13
142,2022-04-25,DEBIT CARD PURCHASE ALDI STORES - WEST MEL WEST MELBOUR,42.34
143,2022-04-26,DEBIT CARD PURCHASE In a Rush Melbourne,4.56
144,2022-04-26,DEBIT CARD PURCHASE Biang Biang Swanston Melbourne,16.88
145,2022-04-27,DEBIT CARD PURCHASE Timber and Greens Collingwood,4.5
146,2022-04-27,DEBIT CARD PURCHASE VIC MEAT SUPPLY P/L MELBOURNE,12.0
147,2022-04-28,DEBIT CARD PURCHASE CATHEDRAL COFFEE MELBOURNE,4.5
148,2022-04-29,DEBIT CARD PURCHASE SQ *BENCH COFFEE CO. R Brunswick,5.0
149,2022-04-29,DEBIT CARD PURCHASE MEKONG RESTAURANT MELBOURNE,17.8
150,2022-04-29,DEBIT CARD PURCHASE MINISO MELB CENTRAL MELBOURNE,14.99
151,2022-04-30,DEBIT CARD PURCHASE Code Black Brunswick,6.61
152,2022-04-30,DEBIT CARD PURCHASE Uniqlo Australia Pty L Melbourne,99.85
153,2022-04-30,DEBIT CARD PURCHASE THE CORNER LARDER MELBOURNE,12.03
154,2022-05-01,DEBIT CARD PURCHASE KIT ESPRESSO GROUP PTY MELBOURNE,5.0
155,2022-05-02,DEBIT CARD PURCHASE ZLR*Queen's Harvest Melbourne,3.96
156,2022-05-02,DEBIT CARD PURCHASE DELHI STREETS MELBOURNE,20.0
157,2022-05-02,PAYMENT BY AUTHORITY TO Vodafone Aus,64.99
158,2022-05-03,DEBIT CARD PURCHASE AXIL COFFEE Melbourne,5.15
159,2022-05-03,DEBIT CARD PURCHASE D AND C APOLLOWINGS PT MELBOURNE,18.87
160,2022-05-04,DEBIT CARD PURCHASE KIT ESPRESSO GROUP PTY MELBOURNE,5.0
161,2022-05-05,DEBIT CARD PURCHASE SQ *ROSSO ESPRESSO BAR Melbourne,4.5
162,2022-05-06,DEBIT CARD PURCHASE DR DAX KITCHEN Parkville,4.26
163,2022-05-07,DEBIT CARD PURCHASE PROFESSORS WALK CAFE PARKVILLE,4.6
164,2022-05-08,DEBIT CARD PURCHASE PUZZLE SWANSTON ST MELBOURNE,4.66
165,2022-05-08,DEBIT CARD PURCHASE FOOD FACTORY MELBOURNE,25.24
166,2022-05-09,DEBIT CARD PURCHASE SQ *ST. ALI CANTEEN Melbourne,5.5
167,2022-05-10,DEBIT CARD PURCHASE SQ *LITTLE NIC         West Melbour,4.35
168,2022-05-11,DEBIT CARD PURCHASE EMPORIUM ESPRESSO PL MELBOURNE,5.3
169,2022-05-11,DEBIT CARD PURCHASE UBER   *TRIP,35.1
170,2022-05-12,DEBIT CARD PURCHASE PROFESSORS WALK CAFE PARKVILLE,4.6
171,2022-05-12,DEBIT CARD PURCHASE Spotify Sydney,18.99
172,2022-05-13,DEBIT CARD PURCHASE SQ *THE STUDIO BEANS C Carlton,5.0
173,2022-05-13,DEBIT CARD PURCHASE HELLENIC DELI MELBOURNE,20.04
174,2022-05-14,DEBIT CARD PURCHASE PUZZLE SWANSTON ST MELBOURNE,4.66
175,2022-05-15,DEBIT CARD PURCHASE SQ *BOURKE AND WILLS Melbourne,4.57
176,2022-05-16,DEBIT CARD PURCHASE Carl Timber+Greens Carlton,4.38
177,2022-05-16,DEBIT CARD PURCHASE ZLR*Andrew's Bread Sh Melbourne,7.68
178,2022-05-17,DEBIT CARD PURCHASE SQ *ROSSO ESPRESSO BAR Melbourne,4.5
179,2022-05-17,DEBIT CARD PURCHASE THAILANDER EMPORIUM MELBOURNE,7.08
180,2022-05-18,DEBIT CARD PURCHASE Code Black Brunswick,6.61
181,2022-05-19,DEBIT CARD PURCHASE UPSTANDING CITIZENS MELBOURNE,4.55
182,2022-05-19,DEBIT CARD PURCHASE HOTELS PT  MELBOU,78.0
183,2022-05-20,DEBIT CARD PURCHASE SQ *BRUNETTI ORO FLIND Melbourne,5.97
184,2022-05-20,DEBIT CARD PURCHASE Bowltiful Swanston Melbourne,18.07
185,2022-05-21,DEBIT CARD PURCHASE Code Black Brunswick,6.61
186,2022-05-22,DEBIT CARD PURCHASE SQ *PUZZLE COFFEE Melbourne,5.06
187,2022-05-22,EFTPOS DEBIT 0000000 UBER* TRIP,21.6
188,2022-05-22,DEBIT CARD PURCHASE MATE COMMUNICATE PTY,75.0
189,2022-05-23,DEBIT CARD PURCHASE The league of honest c Melbourne,4.75
190,2022-05-23,DEBIT CARD PURCHASE EVENT GIFT SHOP Sydney,100.0
191,2022-05-23,EFTPOS DEBIT 0000000 SMP*Jagos Quality Me atMelbourne03,16.26
192,2022-05-23,EFTPOS DEBIT 0000000 UBER* TRIP,21.6
193,2022-05-24,DEBIT CARD PURCHASE Timber and Greens Collingwood,4.5
194,2022-05-25,DEBIT CARD PURCHASE MILKY JOE'S MELBOURNE,4.3
195,2022-05-25,DEBIT CARD PURCHASE NELAYAN PTY LTD MELBOURNE,19.79
196,2022-05-25,EFTPOS DEBIT 0000000 SMP*Jagos Quality Me atMelbourne03,16.26
197,2022-05-26,DEBIT CARD PURCHASE SQ *BROTHER BABA BUDAN Melbourne,5.06
198,2022-05-26,DEBIT CARD PURCHASE THAILANDER EMPORIUM MELBOURNE,7.08
199,2022-05-27,DEBIT CARD PURCHASE AXIL COFFEE Melbourne,5.15
200,2022-05-27,DEBIT CARD PURCHASE HELLENIC DELI MELBOURNE,20.04
201,2022-05-28,DEBIT CARD PURCHASE PROFESSORS WALK CAFE PARKVILLE,4.6
202,2022-05-29,DEBIT CARD PURCHASE SQ *LITTLE NIC         West Melbour,4.35
203,2022-05-29,DEBIT CARD PURCHASE SAMSAM CHICKEN SWANSTO MELBOURNE,21.15
204,2022-05-30,DEBIT CARD PURCHASE SQ *BRUNETTI ORO FLIND Melbourne,5.97
205,2022-05-30,DEBIT CARD PURCHASE SQ *MISOYA SAKE BAR BR Brunswick,23.83
206,2022-05-30,DEBIT CARD PURCHASE MACPAC MELBOURNE MELBOURNE,48.7
207,2022-05-30,DEBIT CARD PURCHASE VIC MEAT SUPPLY P/L MELBOURNE,12.0
208,2022-05-30,DEBIT CARD PURCHASE AMPOL,10.4
209,2022-05-31,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
210,2022-05-31,DEBIT CARD PURCHASE MACPAC MELBOURNE MELBOURNE,48.7
211,2022-06-01,DEBIT CARD PURCHASE SQ *BRUNETTI ORO FLIND Melbourne,5.97
212,2022-06-02,DEBIT CARD PURCHASE ACOFFEE Collingwood,5.57
213,2022-06-02,PAYMENT BY AUTHORITY TO Vodafone Aus,64.99
214,2022-06-03,DEBIT CARD PURCHASE ACOFFEE Collingwood,5.57
215,2022-06-04,DEBIT CARD PURCHASE SQ *BOURKE AND WILLS Melbourne,4.57
216,2022-06-04,DEBIT CARD PURCHASE OFFICEWORKS 0000 MELBOURNE,49.66
217,2022-06-05,DEBIT CARD PURCHASE KIT ESPRESSO GROUP PTY MELBOURNE,5.0
218,2022-06-06,DEBIT CARD PURCHASE Timber and Greens Collingwood,4.5
219,2022-06-06,DEBIT CARD PURCHASE DELHI STREETS MELBOURNE,20.0
220,2022-06-07,DEBIT CARD PURCHASE ZLR*Queen's Harvest Melbourne,3.96
221,2022-06-07,DEBIT CARD PURCHASE SQ *MASTER LANZHOU EXP Carlton,15.12
222,2022-06-08,DEBIT CARD PURCHASE In a Rush Melbourne,4.56
223,2022-06-09,DEBIT CARD PURCHASE SQ *COFFEE HQ PTY LTD Melbourne,4.55
224,2022-06-10,DEBIT CARD PURCHASE SQ *COFFEE HQ PTY LTD Melbourne,4.55
225,2022-06-11,DEBIT CARD PURCHASE ACOFFEE Collingwood,5.57
226,2022-06-11,DEBIT CARD PURCHASE HOTELS PT  MELBOU,78.0
227,2022-06-12,DEBIT CARD PURCHASE MILKY JOE'S MELBOURNE,4.3
228,2022-06-12,DEBIT CARD PURCHASE SQ *MARKET LANE COFFEE South Melbou,6.0
229,2022-06-12,DEBIT CARD PURCHASE Spotify Sydney,18.99
230,2022-06-13,DEBIT CARD PURCHASE SQ *PUZZLE COFFEE Melbourne,5.06
231,2022-06-13,DEBIT CARD PURCHASE THE TERRACE MELBOURNE,48.4
232,2022-06-13,DEBIT CARD PURCHASE REBEL MELBOURNE CITY MELBOURNE,89.99
233,2022-06-14,DEBIT CARD PURCHASE In a Rush Melbourne,4.56
234,2022-06-15,DEBIT CARD PURCHASE SQ *DUKES COFFEE ROAST Melbourne,5.0
235,2022-06-16,DEBIT CARD PURCHASE In a Rush Melbourne,4.56
236,2022-06-16,DEBIT CARD PURCHASE WOOLWORTHS      0000 STH MELBOURN,9.38
237,2022-06-17,DEBIT CARD PURCHASE SQ *BROTHER BABA BUDAN Melbourne,5.06
238,2022-06-18,DEBIT CARD PURCHASE SQ *THE STUDIO BEANS C Carlton,5.0
239,2022-06-19,DEBIT CARD PURCHASE SQ *LITTLE NIC         West Melbour,4.35
240,2022-06-19,DEBIT CARD PURCHASE Dragon Hot Pot Melbourne,20.0
241,2022-06-19,EFTPOS DEBIT 0000000 UBER* TRIP,21.6
242,2022-06-20,DEBIT CARD PURCHASE MILKY JOE'S MELBOURNE,4.3
243,2022-06-21,DEBIT CARD PURCHASE In a Rush Melbourne,4.56
244,2022-06-21,DEBIT CARD PURCHASE WOOLWORTHS      0000 STH MELBOURN,9.38
245,2022-06-22,DEBIT CARD PURCHASE KIT ESPRESSO GROUP PTY MELBOURNE,5.0
246,2022-06-22,DEBIT CARD PURCHASE MATE COMMUNICATE PTY,75.0
247,2022-06-23,DEBIT CARD PURCHASE ONA Coffee Melbourne Brunswick,5.84
248,2022-06-24,DEBIT CARD PURCHASE SQ *COFFEE HQ PTY LTD Melbourne,4.55
249,2022-06-25,DEBIT CARD PURCHASE AXIL COFFEE Melbourne,5.15
250,2022-06-26,DEBIT CARD PURCHASE The league of honest c Melbourne,4.75
251,2022-06-27,DEBIT CARD PURCHASE SQ *BROTHER BABA BUDAN Melbourne,5.06
252,2022-06-27,DEBIT CARD PURCHASE SQ *MARKET LANE COFFEE South Melbou,6.0
253,2022-06-28,DEBIT CARD PURCHASE MILKY JOE'S MELBOURNE,4.3
254,2022-06-28,DEBIT CARD PURCHASE MARKET ORGANICS PT MELBOURNE,18.3
255,2022-06-29,DEBIT CARD PURCHASE SQ *BOURKE AND WILLS Melbourne,4.57
256,2022-06-29,DEBIT CARD PURCHASE CROWN ASIAN SUPERMAR MELBOURNE,15.42
257,2022-06-30,DEBIT CARD PURCHASE CATHEDRAL COFFEE MELBOURNE,4.5
258,2022-06-30,DEBIT CARD PURCHASE HIGHER GROUND MELBOURNE,6.5
259,2022-07-01,DEBIT CARD PURCHASE The league of honest c Melbourne,4.75
260,2022-07-02,DEBIT CARD PURCHASE PUZZLE SWANSTON ST MELBOURNE,4.66
261,2022-07-02,PAYMENT BY AUTHORITY TO Vodafone Aus,64.99
262,2022-07-03,DEBIT CARD PURCHASE SQ *THE STUDIO BEANS C Carlton,5.0
263,2022-07-03,DEBIT CARD PURCHASE SQ *MASTER LANZHOU EXP Carlton,15.12
264,2022-07-04,DEBIT CARD PURCHASE SQ *ST. ALI CANTEEN Melbourne,5.5
265,2022-07-05,DEBIT CARD PURCHASE SQ *BENCH COFFEE CO. R Brunswick,5.0
266,2022-07-06,DEBIT CARD PURCHASE The Journal Cafe Melbourne,5.99
267,2022-07-07,DEBIT CARD PURCHASE SQ *BOURKE AND WILLS Melbourne,4.57
268,2022-07-07,EFTPOS DEBIT 0000000 SMP*Jagos Quality Me atMelbourne03,16.26
269,2022-07-08,DEBIT CARD PURCHASE The Journal Cafe Melbourne,5.99
270,2022-07-09,DEBIT CARD PURCHASE The Journal Cafe Melbourne,5.99
271,2022-07-10,DEBIT CARD PURCHASE SQ *ST. ALI CANTEEN Melbourne,5.5
272,2022-07-10,DEBIT CARD PURCHASE PACOS TACOS RINGWOOD,35.65
273,2022-07-11,DEBIT CARD PURCHASE SQ *THE STUDIO BEANS C Carlton,5.0
274,2022-07-11,DEBIT CARD PURCHASE WWW.BOWLTIFUL.COM.AU MELBOURNE,18.26
275,2022-07-12,DEBIT CARD PURCHASE EMPORIUM ESPRESSO PL MELBOURNE,5.3
276,2022-07-12,DEBIT CARD PURCHASE HOTELS PT  MELBOU,78.0
277,2022-07-12,DEBIT CARD PURCHASE CROWN ASIAN SUPERMAR MELBOURNE,15.42
278,2022-07-12,DEBIT CARD PURCHASE Spotify Sydney,18.99
279,2022-07-13,DEBIT CARD PURCHASE The league of honest c Melbourne,4.75
280,2022-07-14,DEBIT CARD PURCHASE SQ *LITTLE NIC         West Melbour,4.35
281,2022-07-14,DEBIT CARD PURCHASE KOWLOON GROUP CITY PTY MELBOURNE,19.62
282,2022-07-14,EFTPOS DEBIT 0000000 MYKI MELBOURNE,90.0
283,2022-07-15,DEBIT CARD PURCHASE SQ *LITTLE NIC         West Melbour,4.35
284,2022-07-15,DEBIT CARD PURCHASE SQ *MASTER LANZHOU EXP Carlton,15.12
285,2022-07-16,DEBIT CARD PURCHASE SQ *ST. ALI CANTEEN Melbourne,5.5
286,2022-07-16,DEBIT CARD PURCHASE AMPOL,10.4
287,2022-07-17,DEBIT CARD PURCHASE POSTAL HALL MELBOURNE,5.5
288,2022-07-18,DEBIT CARD PURCHASE SQ *BENCH COFFEE CO. R Brunswick,5.0
289,2022-07-18,DEBIT CARD PURCHASE WWW.BOWLTIFUL.COM.AU MELBOURNE,18.26
290,2022-07-18,DEBIT CARD PURCHASE ALDI STORES - WEST MEL WEST MELBOUR,42.34
291,2022-07-19,DEBIT CARD PURCHASE POSTAL HALL MELBOURNE,5.5
292,2022-07-19,DEBIT CARD PURCHASE THE CORNER LARDER MELBOURNE,12.03
293,2022-07-20,DEBIT CARD PURCHASE PROFESSORS WALK CAFE PARKVILLE,4.6
294,2022-07-21,DEBIT CARD PURCHASE SQ *ROSSO ESPRESSO BAR Melbourne,4.5
295,2022-07-21,DEBIT CARD PURCHASE MUJI RETAIL (AUSTRAL MELBOURNE,20.02
296,2022-07-21,DEBIT CARD PURCHASE THE CORNER LARDER MELBOURNE,12.03
297,2022-07-22,DEBIT CARD PURCHASE The Journal Cafe Melbourne,5.99
298,2022-07-22,DEBIT CARD PURCHASE MYER MELBOURNE CITY MELBOURNE,34.95
299,2022-07-22,EFTPOS DEBIT 0000000 MYKI MELBOURNE,90.0
300,2022-07-22,DEBIT CARD PURCHASE MATE COMMUNICATE PTY,75.0
301,2022-07-23,DEBIT CARD PURCHASE SQ *PAUSE & SIP BY WHI Melbourne,4.44
302,2022-07-24,DEBIT CARD PURCHASE AXIL COFFEE Melbourne,5.15
303,2022-07-24,DEBIT CARD PURCHASE Nasi Lemak House Carlton,19.59
304,2022-07-25,DEBIT CARD PURCHASE Carl Timber+Greens Carlton,4.38
